judgmentId,unitId,workerId,startedAt,submittedAt,Answer,Link
100,100,1,31-3-2023 13:00:32,31-3-2023 13:00:32,4,https://forms.gle/THgNSrpyhWR8Hthi8
101,100,2,31-3-2023 13:27:12,31-3-2023 13:27:12,4,https://forms.gle/THgNSrpyhWR8Hthi9
102,100,3,31-3-2023 13:30:01,31-3-2023 13:30:01,4,https://forms.gle/THgNSrpyhWR8Hthi10
103,100,4,31-3-2023 13:38:18,31-3-2023 13:38:18,4,https://forms.gle/THgNSrpyhWR8Hthi11
104,100,5,31-3-2023 13:42:55,31-3-2023 13:42:55,4,https://forms.gle/THgNSrpyhWR8Hthi12
105,100,6,31-3-2023 14:02:58,31-3-2023 14:02:58,3,https://forms.gle/THgNSrpyhWR8Hthi13
106,100,7,31-3-2023 16:42:35,31-3-2023 16:42:35,3,https://forms.gle/THgNSrpyhWR8Hthi14
107,100,8,31-3-2023 16:54:36,31-3-2023 16:54:36,4,https://forms.gle/THgNSrpyhWR8Hthi15
108,100,9,31-3-2023 18:15:08,31-3-2023 18:15:08,4,https://forms.gle/THgNSrpyhWR8Hthi16
109,100,10,31-3-2023 18:33:44,31-3-2023 18:33:44,4,https://forms.gle/THgNSrpyhWR8Hthi17
110,100,11,31-3-2023 18:46:47,31-3-2023 18:46:47,5,https://forms.gle/THgNSrpyhWR8Hthi18
111,100,12,31-3-2023 19:47:57,31-3-2023 19:47:57,2,https://forms.gle/THgNSrpyhWR8Hthi19
