unitId,submittedAt,judgmentId,startedAt,Task_type,Question_number,Answer,workerId,link,age,gender,connection_level,connection_type
101,9-6-2023 16:02:20,201,9-6-2023 16:02:20,x,,"Opstand, Protest, Rechtvaardigheid, Staking",1,https://www.nationaalarchief.cw/collectie/exposities/30-mei-1969,18-24 jaar oud,Man,1,Geen directe verbondenheid met de gebeurtenis
101,10-6-2023 13:04:16,202,10-6-2023 13:04:16,x,,"Opstand, Gelijkheid, Protest, Rechtvaardigheid, Verzet",2,https://www.nationaalarchief.cw/collectie/exposities/30-mei-1970,18-24 jaar oud,Man,1,Geen directe verbondenheid met de gebeurtenis
101,13-6-2023 10:05:12,203,13-6-2023 10:05:12,x,,"Gelijkheid, Protest",3,https://www.nationaalarchief.cw/collectie/exposities/30-mei-1971,25-34 jaar oud,Vrouw,1,Geen directe verbondenheid met de gebeurtenis
101,13-6-2023 17:04:51,204,13-6-2023 17:04:51,x,,"Vrijheidsstrijd, Onrust, Rechtvaardigheid, Onafhankelijkheid, Verzet",4,https://www.nationaalarchief.cw/collectie/exposities/30-mei-1972,18-24 jaar oud,Vrouw,4,Geen directe verbondenheid met de gebeurtenis
101,20-6-2023 13:11:22,205,20-6-2023 13:11:22,x,,"Revolutie, Vrijheidsstrijd, Opstand, Gelijkheid, Rechtvaardigheid",5,https://www.nationaalarchief.cw/collectie/exposities/30-mei-1973,25-34 jaar oud,Vrouw,2,Culturele verbondenheid
101,20-6-2023 13:50:30,206,20-6-2023 13:50:30,x,,"Onrust, Gelijkheid, Protest, Rechtvaardigheid, Staking",6,https://www.nationaalarchief.cw/collectie/exposities/30-mei-1974,25-34 jaar oud,Man,5,Culturele verbondenheid
101,20-6-2023 17:59:46,207,20-6-2023 17:59:46,x,,"Emancipatie, Revolutie, Rechtvaardigheid",7,https://www.nationaalarchief.cw/collectie/exposities/30-mei-1975,18-24 jaar oud,Man,2,Geen directe verbondenheid met de gebeurtenis
101,20-6-2023 18:38:16,208,20-6-2023 18:38:16,x,,Protest,8,https://www.nationaalarchief.cw/collectie/exposities/30-mei-1976,25-34 jaar oud,Vrouw,1,Persoonlijke interesse
101,21-6-2023 9:14:03,209,21-6-2023 9:14:03,x,,"Emancipatie, Opstand, Gelijkheid, Protest, Verwoesting",9,https://www.nationaalarchief.cw/collectie/exposities/30-mei-1977,55-64 jaar oud,Man,4,Indirecte persoonlijke betrokkenheid of ervaring (Middels een kennis of familielid)
101,21-6-2023 12:14:43,210,21-6-2023 12:14:43,x,,"Emancipatie, Opstand, Protest, Rechtvaardigheid, Verzet",10,https://www.nationaalarchief.cw/collectie/exposities/30-mei-1978,25-34 jaar oud,Vrouw,5,Indirecte persoonlijke betrokkenheid of ervaring (Middels een kennis of familielid)
