unitId,submittedAt,judgmentId,startedAt,Task_type,Question_number,Answer,workerId,link,age,gender,connection_level,connection_type
101,20-6-2023 13:11:22,205,20-6-2023 13:11:22,x,,"Revolutie, Vrijheidsstrijd, Opstand, Gelijkheid, Rechtvaardigheid",5,https://www.nationaalarchief.cw/collectie/exposities/30-mei-1973,25-34 jaar oud,Vrouw,2,Culturele verbondenheid
101,20-6-2023 13:50:30,206,20-6-2023 13:50:30,x,,"Onrust, Gelijkheid, Protest, Rechtvaardigheid, Staking",6,https://www.nationaalarchief.cw/collectie/exposities/30-mei-1974,25-34 jaar oud,Man,5,Culturele verbondenheid
101,22-6-2023 16:54:17,212,22-6-2023 16:54:17,x,,"Emancipatie, Revolutie, Opstand, Protest, Verzet",12,https://www.nationaalarchief.cw/collectie/exposities/30-mei-1980,18-24 jaar oud,Man,3,Culturele verbondenheid
101,23-6-2023 21:48:40,215,23-6-2023 21:48:40,x,,"Protest, Verzet, Oproer, Staking",15,https://www.nationaalarchief.cw/collectie/exposities/30-mei-1983,25-34 jaar oud,Man,2,Culturele verbondenheid
101,29-6-2023 12:13:42,234,29-6-2023 12:13:42,x,,"Revolutie, Verzet, Oproer, Staking",34,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2002,25-34 jaar oud,Man,2,Culturele verbondenheid
102,20-6-2023 13:11:22,240,20-6-2023 13:11:22,x,,"Protest, Opstand, Dissidentie, Verzet, Staking",5,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2008,25-34 jaar oud,Vrouw,2,Culturele verbondenheid
102,20-6-2023 13:50:30,241,20-6-2023 13:50:30,x,,"Opstandigheid, Opstand, Anarchie",6,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2009,25-34 jaar oud,Man,5,Culturele verbondenheid
102,22-6-2023 16:54:17,247,22-6-2023 16:54:17,x,,"Opstand, Onrust, Vandalisme, Verwoesting, Verzet",12,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2015,18-24 jaar oud,Man,3,Culturele verbondenheid
102,23-6-2023 21:48:40,250,23-6-2023 21:48:40,x,,"Onrust, Vandalisme, Verwoesting, Oproer",15,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2018,25-34 jaar oud,Man,2,Culturele verbondenheid
102,29-6-2023 12:13:42,269,29-6-2023 12:13:42,x,,"Onrust, Verwoesting, Oproer",34,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2037,25-34 jaar oud,Man,2,Culturele verbondenheid
103,20-6-2023 13:11:22,275,20-6-2023 13:11:22,x,,"Revolutie, Opstand, Protest, Opstand, Oproer",5,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2043,25-34 jaar oud,Vrouw,2,Culturele verbondenheid
103,20-6-2023 13:50:30,276,20-6-2023 13:50:30,x,,"Onrust, Vandalisme, Verwoesting, Oproer",6,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2044,25-34 jaar oud,Man,5,Culturele verbondenheid
103,22-6-2023 16:54:17,282,22-6-2023 16:54:17,x,,"Onrust, Protest, Verwoesting, Oproer",12,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2050,18-24 jaar oud,Man,3,Culturele verbondenheid
103,23-6-2023 21:48:40,285,23-6-2023 21:48:40,x,,"Onrust, Vandalisme, Verwoesting, Oproer",15,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2053,25-34 jaar oud,Man,2,Culturele verbondenheid
103,29-6-2023 12:13:42,304,29-6-2023 12:13:42,x,,"Onrust, Verwoesting",34,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2072,25-34 jaar oud,Man,2,Culturele verbondenheid
104,20-6-2023 13:11:22,310,20-6-2023 13:11:22,x,,"Onrust, Vandalisme, Rechtvaardigheid, Verwoesting, Verzet",5,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2078,25-34 jaar oud,Vrouw,2,Culturele verbondenheid
104,20-6-2023 13:50:30,311,20-6-2023 13:50:30,x,,"Opstand, Onrust, Vandalisme, Verwoesting, Verzet",6,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2079,25-34 jaar oud,Man,5,Culturele verbondenheid
104,22-6-2023 16:54:17,317,22-6-2023 16:54:17,x,,"Revolutie, Opstand, Protest, Verzet, Oproer",12,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2085,18-24 jaar oud,Man,3,Culturele verbondenheid
104,23-6-2023 21:48:40,320,23-6-2023 21:48:40,x,,"Onrust, Verwoesting, Verzet, Oproer, Staking",15,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2088,25-34 jaar oud,Man,2,Culturele verbondenheid
104,29-6-2023 12:13:42,339,29-6-2023 12:13:42,x,,"Revolutie, Onrust, Protest, Verzet, Oproer",34,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2107,25-34 jaar oud,Man,2,Culturele verbondenheid
105,20-6-2023 13:11:22,345,20-6-2023 13:11:22,x,,"Emancipatie, Revolutie, Vrijheidsstrijd, Opstand, Gelijkheid, Protest, Rechtvaardigheid, Opstand, Onafhankelijkheid, Verzet, Staking",5,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2113,25-34 jaar oud,Vrouw,2,Culturele verbondenheid
105,20-6-2023 13:50:30,346,20-6-2023 13:50:30,x,,"Revolutie, Opstand, Gelijkheid, Rechtvaardigheid, Staking",6,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2114,25-34 jaar oud,Man,5,Culturele verbondenheid
105,22-6-2023 16:54:17,352,22-6-2023 16:54:17,x,,"Emancipatie, Opstand, Protest, Bevrijding, Onafhankelijkheid",12,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2120,18-24 jaar oud,Man,3,Culturele verbondenheid
105,23-6-2023 21:48:40,355,23-6-2023 21:48:40,x,,"Onrust, Gelijkheid, Verzet, Oproer, Eenheid",15,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2123,25-34 jaar oud,Man,2,Culturele verbondenheid
105,29-6-2023 12:13:42,374,29-6-2023 12:13:42,x,,"Revolutie, Vrijheidsstrijd, Opstand, Gelijkheid",34,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2142,25-34 jaar oud,Man,2,Culturele verbondenheid
106,20-6-2023 13:11:22,380,20-6-2023 13:11:22,x,,"Revolutie, Vrijheidsstrijd, Opstand, Gelijkheid, Protest, Bevrijding, Vandalisme, Rechtvaardigheid, Opstand, Verwoesting, Verzet, Oproer",5,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2148,25-34 jaar oud,Vrouw,2,Culturele verbondenheid
106,20-6-2023 13:50:30,381,20-6-2023 13:50:30,x,,"Opstand, Onrust, Vandalisme, Verwoesting, Oproer",6,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2149,25-34 jaar oud,Man,5,Culturele verbondenheid
106,22-6-2023 16:54:17,387,22-6-2023 16:54:17,x,,"Emancipatie, Revolutie, Onrust, Verwoesting, Onafhankelijkheid",12,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2155,18-24 jaar oud,Man,3,Culturele verbondenheid
106,23-6-2023 21:48:40,390,23-6-2023 21:48:40,x,,"Onrust, Protest, Verzet, Oproer, Staking",15,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2158,25-34 jaar oud,Man,2,Culturele verbondenheid
106,29-6-2023 12:13:42,409,29-6-2023 12:13:42,x,,"Onrust, Verwoesting",34,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2177,25-34 jaar oud,Man,2,Culturele verbondenheid
107,20-6-2023 13:11:22,415,20-6-2023 13:11:22,x,,"Vrijheidsstrijd, Opstand, Protest, Vandalisme, Verwoesting",5,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2183,25-34 jaar oud,Vrouw,2,Culturele verbondenheid
107,20-6-2023 13:50:30,416,20-6-2023 13:50:30,x,,"Emancipatie, Revolutie, Gelijkheid, Rechtvaardigheid",6,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2184,25-34 jaar oud,Man,5,Culturele verbondenheid
107,22-6-2023 16:54:17,422,22-6-2023 16:54:17,x,,"Opstand, Protest, Vandalisme, Verwoesting, Verzet",12,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2190,18-24 jaar oud,Man,3,Culturele verbondenheid
107,23-6-2023 21:48:40,425,23-6-2023 21:48:40,x,,"Onrust, Vandalisme, Verwoesting, Verzet, Oproer",15,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2193,25-34 jaar oud,Man,2,Culturele verbondenheid
107,29-6-2023 12:13:42,444,29-6-2023 12:13:42,x,,"Revolutie, Vrijheidsstrijd, Onrust, Protest, Vandalisme",34,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2212,25-34 jaar oud,Man,2,Culturele verbondenheid
108,20-6-2023 13:11:22,450,20-6-2023 13:11:22,x,,"Protest, Vandalisme, Opstand, Verwoesting, Oproer",5,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2218,25-34 jaar oud,Vrouw,2,Culturele verbondenheid
108,20-6-2023 13:50:30,451,20-6-2023 13:50:30,x,,"Onrust, Vandalisme, Verwoesting",6,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2219,25-34 jaar oud,Man,5,Culturele verbondenheid
108,22-6-2023 16:54:17,457,22-6-2023 16:54:17,x,,"Opstand, Protest, Vandalisme, Verwoesting, Onafhankelijkheid",12,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2225,18-24 jaar oud,Man,3,Culturele verbondenheid
108,23-6-2023 21:48:40,460,23-6-2023 21:48:40,x,,"Onrust, Vandalisme, Verwoesting, Oproer",15,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2228,25-34 jaar oud,Man,2,Culturele verbondenheid
108,29-6-2023 12:13:42,479,29-6-2023 12:13:42,x,,"Revolutie, Opstand, Onrust, Protest, Vandalisme",34,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2247,25-34 jaar oud,Man,2,Culturele verbondenheid
109,20-6-2023 13:11:22,485,20-6-2023 13:11:22,x,,"Opstand, Vandalisme, Verwoesting, Verzet, Oproer",5,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2253,25-34 jaar oud,Vrouw,2,Culturele verbondenheid
109,20-6-2023 13:50:30,486,20-6-2023 13:50:30,x,,"Opstand, Onrust, Vandalisme, Verwoesting, Oproer",6,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2254,25-34 jaar oud,Man,5,Culturele verbondenheid
109,22-6-2023 16:54:17,492,22-6-2023 16:54:17,x,,"Protest, Vandalisme, Verwoesting, Verzet, Oproer",12,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2260,18-24 jaar oud,Man,3,Culturele verbondenheid
