unitId,submittedAt,judgmentId,startedAt,Task_type,Question_number,Answer,workerId,link,age,gender,connection_level,connection_type
101,21-6-2023 9:14:03,209,21-6-2023 9:14:03,x,,"Emancipatie, Opstand, Gelijkheid, Protest, Verwoesting",9,https://www.nationaalarchief.cw/collectie/exposities/30-mei-1977,55-64 jaar oud,Man,4,Indirecte persoonlijke betrokkenheid of ervaring (Middels een kennis of familielid)
101,21-6-2023 12:14:43,210,21-6-2023 12:14:43,x,,"Emancipatie, Opstand, Protest, Rechtvaardigheid, Verzet",10,https://www.nationaalarchief.cw/collectie/exposities/30-mei-1978,25-34 jaar oud,Vrouw,5,Indirecte persoonlijke betrokkenheid of ervaring (Middels een kennis of familielid)
101,25-6-2023 19:43:49,216,25-6-2023 19:43:49,x,,"Revolutie, Opstand, Onrust, Oproer, Staking",16,https://www.nationaalarchief.cw/collectie/exposities/30-mei-1984,45-54 jaar oud,Man,3,Indirecte persoonlijke betrokkenheid of ervaring (Middels een kennis of familielid)
101,26-6-2023 16:29:13,220,26-6-2023 16:29:13,x,,"Emancipatie, Gelijkheid, Rechtvaardigheid, Onafhankelijkheid, Verzet",20,https://www.nationaalarchief.cw/collectie/exposities/30-mei-1988,35-44 jaar oud,Vrouw,1,Indirecte persoonlijke betrokkenheid of ervaring (Middels een kennis of familielid)
101,26-6-2023 17:54:48,222,26-6-2023 17:54:48,x,,"Vrijheidsstrijd, Onrust, Protest, Rechtvaardigheid, Verzet",22,https://www.nationaalarchief.cw/collectie/exposities/30-mei-1990,45-54 jaar oud,Vrouw,3,Indirecte persoonlijke betrokkenheid of ervaring (Middels een kennis of familielid)
102,21-6-2023 9:14:03,244,21-6-2023 9:14:03,x,,"Emancipatie, Opstand, Gelijkheid, Omverwerping, Verwoesting",9,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2012,55-64 jaar oud,Man,4,Indirecte persoonlijke betrokkenheid of ervaring (Middels een kennis of familielid)
102,21-6-2023 12:14:43,245,21-6-2023 12:14:43,x,,"Onrust, Ongehoorzaamheid, Verzet",10,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2013,25-34 jaar oud,Vrouw,5,Indirecte persoonlijke betrokkenheid of ervaring (Middels een kennis of familielid)
102,25-6-2023 19:43:49,251,25-6-2023 19:43:49,x,,"Revolutie, Opstand, Verwoesting, Oproer",16,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2019,45-54 jaar oud,Man,3,Indirecte persoonlijke betrokkenheid of ervaring (Middels een kennis of familielid)
102,26-6-2023 16:29:13,255,26-6-2023 16:29:13,x,,"Opstand, Gelijkheid, Vandalisme, Rechtvaardigheid, Verwoesting",20,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2023,35-44 jaar oud,Vrouw,1,Indirecte persoonlijke betrokkenheid of ervaring (Middels een kennis of familielid)
102,26-6-2023 17:54:48,257,26-6-2023 17:54:48,x,,"Revolutie, Opstand, Onrust, Vandalisme, Oproer",22,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2025,45-54 jaar oud,Vrouw,3,Indirecte persoonlijke betrokkenheid of ervaring (Middels een kennis of familielid)
103,21-6-2023 9:14:03,279,21-6-2023 9:14:03,x,,"Emancipatie, Opstand, Gelijkheid, Vandalisme, Verwoesting",9,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2047,55-64 jaar oud,Man,4,Indirecte persoonlijke betrokkenheid of ervaring (Middels een kennis of familielid)
103,21-6-2023 12:14:43,280,21-6-2023 12:14:43,x,,"Bevrijding, Hulp",10,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2048,25-34 jaar oud,Vrouw,5,Indirecte persoonlijke betrokkenheid of ervaring (Middels een kennis of familielid)
103,25-6-2023 19:43:49,286,25-6-2023 19:43:49,x,,"Onrust, Verwoesting, Verzet",16,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2054,45-54 jaar oud,Man,3,Indirecte persoonlijke betrokkenheid of ervaring (Middels een kennis of familielid)
103,26-6-2023 16:29:13,290,26-6-2023 16:29:13,x,,"Emancipatie, Onrust, Gelijkheid, Onafhankelijkheid",20,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2058,35-44 jaar oud,Vrouw,1,Indirecte persoonlijke betrokkenheid of ervaring (Middels een kennis of familielid)
103,26-6-2023 17:54:48,292,26-6-2023 17:54:48,x,,"Revolutie, Vrijheidsstrijd, Protest, Verwoesting, Oproer",22,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2060,45-54 jaar oud,Vrouw,3,Indirecte persoonlijke betrokkenheid of ervaring (Middels een kennis of familielid)
104,21-6-2023 9:14:03,314,21-6-2023 9:14:03,x,,"Emancipatie, Opstand, Gelijkheid, Vandalisme, Orde herstellen",9,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2082,55-64 jaar oud,Man,4,Indirecte persoonlijke betrokkenheid of ervaring (Middels een kennis of familielid)
104,21-6-2023 12:14:43,315,21-6-2023 12:14:43,x,,"Onrust, Protest, Verzet, Oproer, Bemoeienis",10,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2083,25-34 jaar oud,Vrouw,5,Indirecte persoonlijke betrokkenheid of ervaring (Middels een kennis of familielid)
104,25-6-2023 19:43:49,321,25-6-2023 19:43:49,x,,"Revolutie, Oproer",16,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2089,45-54 jaar oud,Man,3,Indirecte persoonlijke betrokkenheid of ervaring (Middels een kennis of familielid)
104,26-6-2023 16:29:13,325,26-6-2023 16:29:13,x,,"Emancipatie, Protest, Verzet",20,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2093,35-44 jaar oud,Vrouw,1,Indirecte persoonlijke betrokkenheid of ervaring (Middels een kennis of familielid)
104,26-6-2023 17:54:48,327,26-6-2023 17:54:48,x,,"Gelijkheid, Rechtvaardigheid, Verzet, Autoriteit, oorlog",22,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2095,45-54 jaar oud,Vrouw,3,Indirecte persoonlijke betrokkenheid of ervaring (Middels een kennis of familielid)
