unitId,submittedAt,judgmentId,startedAt,Task_type,Question_number,Answer,workerId,link,age,gender,connection_level,connection_type
101,20-6-2023 13:11:22,205,20-6-2023 13:11:22,x,,"Revolutie, Vrijheidsstrijd, Opstand, Gelijkheid, Rechtvaardigheid",5,https://www.nationaalarchief.cw/collectie/exposities/30-mei-1973,25-34 jaar oud,Vrouw,2,Culturele verbondenheid
101,20-6-2023 17:59:46,207,20-6-2023 17:59:46,x,,"Emancipatie, Revolutie, Rechtvaardigheid",7,https://www.nationaalarchief.cw/collectie/exposities/30-mei-1975,18-24 jaar oud,Man,2,Geen directe verbondenheid met de gebeurtenis
101,23-6-2023 10:43:50,213,23-6-2023 10:43:50,x,,"Onrust, Protest, Rechtvaardigheid, Oproer, Staking",13,https://www.nationaalarchief.cw/collectie/exposities/30-mei-1981,18-24 jaar oud,Vrouw,2,Persoonlijke interesse
101,23-6-2023 21:48:40,215,23-6-2023 21:48:40,x,,"Protest, Verzet, Oproer, Staking",15,https://www.nationaalarchief.cw/collectie/exposities/30-mei-1983,25-34 jaar oud,Man,2,Culturele verbondenheid
101,26-6-2023 16:28:53,218,26-6-2023 16:28:53,x,,"Vrijheidsstrijd, Gelijkheid, Protest, Bevrijding",18,https://www.nationaalarchief.cw/collectie/exposities/30-mei-1986,35-44 jaar oud,Vrouw,2,Geen directe verbondenheid met de gebeurtenis
101,27-6-2023 21:28:55,228,27-6-2023 21:28:55,x,,"Gelijkheid, Protest, Rechtvaardigheid, Staking",28,https://www.nationaalarchief.cw/collectie/exposities/30-mei-1996,45-54 jaar oud,Vrouw,2,Geen directe verbondenheid met de gebeurtenis
101,29-6-2023 12:13:42,234,29-6-2023 12:13:42,x,,"Revolutie, Verzet, Oproer, Staking",34,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2002,25-34 jaar oud,Man,2,Culturele verbondenheid
102,20-6-2023 13:11:22,240,20-6-2023 13:11:22,x,,"Protest, Opstand, Dissidentie, Verzet, Staking",5,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2008,25-34 jaar oud,Vrouw,2,Culturele verbondenheid
102,20-6-2023 17:59:46,242,20-6-2023 17:59:46,x,,"Vrijheidsstrijd, Protest, Anarchie, Uitbraak",7,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2010,18-24 jaar oud,Man,2,Geen directe verbondenheid met de gebeurtenis
102,23-6-2023 10:43:50,248,23-6-2023 10:43:50,x,,"Onrust, Vandalisme, Verwoesting, Oproer",13,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2016,18-24 jaar oud,Vrouw,2,Persoonlijke interesse
102,23-6-2023 21:48:40,250,23-6-2023 21:48:40,x,,"Onrust, Vandalisme, Verwoesting, Oproer",15,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2018,25-34 jaar oud,Man,2,Culturele verbondenheid
102,26-6-2023 16:28:53,253,26-6-2023 16:28:53,x,,"Onrust, Vandalisme, Oproer",18,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2021,35-44 jaar oud,Vrouw,2,Geen directe verbondenheid met de gebeurtenis
102,27-6-2023 21:28:55,263,27-6-2023 21:28:55,x,,"Opstand, Onrust, Vandalisme, Rechtvaardigheid, Verwoesting",28,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2031,45-54 jaar oud,Vrouw,2,Geen directe verbondenheid met de gebeurtenis
102,29-6-2023 12:13:42,269,29-6-2023 12:13:42,x,,"Onrust, Verwoesting, Oproer",34,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2037,25-34 jaar oud,Man,2,Culturele verbondenheid
103,20-6-2023 13:11:22,275,20-6-2023 13:11:22,x,,"Revolutie, Opstand, Protest, Opstand, Oproer",5,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2043,25-34 jaar oud,Vrouw,2,Culturele verbondenheid
103,20-6-2023 17:59:46,277,20-6-2023 17:59:46,x,,"Revolutie, Bevrijding, Verwoesting, Oproer",7,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2045,18-24 jaar oud,Man,2,Geen directe verbondenheid met de gebeurtenis
103,23-6-2023 10:43:50,283,23-6-2023 10:43:50,x,,Onrust,13,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2051,18-24 jaar oud,Vrouw,2,Persoonlijke interesse
103,23-6-2023 21:48:40,285,23-6-2023 21:48:40,x,,"Onrust, Vandalisme, Verwoesting, Oproer",15,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2053,25-34 jaar oud,Man,2,Culturele verbondenheid
103,26-6-2023 16:28:53,288,26-6-2023 16:28:53,x,,Opstand,18,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2056,35-44 jaar oud,Vrouw,2,Geen directe verbondenheid met de gebeurtenis
103,27-6-2023 21:28:55,298,27-6-2023 21:28:55,x,,"Vandalisme, Rechtvaardigheid, Verwoesting",28,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2066,45-54 jaar oud,Vrouw,2,Geen directe verbondenheid met de gebeurtenis
103,29-6-2023 12:13:42,304,29-6-2023 12:13:42,x,,"Onrust, Verwoesting",34,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2072,25-34 jaar oud,Man,2,Culturele verbondenheid
104,20-6-2023 13:11:22,310,20-6-2023 13:11:22,x,,"Onrust, Vandalisme, Rechtvaardigheid, Verwoesting, Verzet",5,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2078,25-34 jaar oud,Vrouw,2,Culturele verbondenheid
104,20-6-2023 17:59:46,312,20-6-2023 17:59:46,x,,"Revolutie, Onrust, Protest, Verwoesting, Verzet",7,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2080,18-24 jaar oud,Man,2,Geen directe verbondenheid met de gebeurtenis
104,23-6-2023 10:43:50,318,23-6-2023 10:43:50,x,,"Revolutie, Opstand, Onrust, Verzet, Oproer",13,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2086,18-24 jaar oud,Vrouw,2,Persoonlijke interesse
104,23-6-2023 21:48:40,320,23-6-2023 21:48:40,x,,"Onrust, Verwoesting, Verzet, Oproer, Staking",15,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2088,25-34 jaar oud,Man,2,Culturele verbondenheid
104,26-6-2023 16:28:53,323,26-6-2023 16:28:53,x,,Verzet,18,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2091,35-44 jaar oud,Vrouw,2,Geen directe verbondenheid met de gebeurtenis
104,27-6-2023 21:28:55,333,27-6-2023 21:28:55,x,,"Onrust, Vandalisme, Verwoesting",28,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2101,45-54 jaar oud,Vrouw,2,Geen directe verbondenheid met de gebeurtenis
104,29-6-2023 12:13:42,339,29-6-2023 12:13:42,x,,"Revolutie, Onrust, Protest, Verzet, Oproer",34,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2107,25-34 jaar oud,Man,2,Culturele verbondenheid
105,20-6-2023 13:11:22,345,20-6-2023 13:11:22,x,,"Emancipatie, Revolutie, Vrijheidsstrijd, Opstand, Gelijkheid, Protest, Rechtvaardigheid, Opstand, Onafhankelijkheid, Verzet, Staking",5,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2113,25-34 jaar oud,Vrouw,2,Culturele verbondenheid
105,20-6-2023 17:59:46,347,20-6-2023 17:59:46,x,,"Revolutie, Vrijheidsstrijd, Protest, Rechtvaardigheid, Opstand",7,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2115,18-24 jaar oud,Man,2,Geen directe verbondenheid met de gebeurtenis
105,23-6-2023 10:43:50,353,23-6-2023 10:43:50,x,,"Emancipatie, Vrijheidsstrijd, Opstand, Gelijkheid, Rechtvaardigheid",13,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2121,18-24 jaar oud,Vrouw,2,Persoonlijke interesse
105,23-6-2023 21:48:40,355,23-6-2023 21:48:40,x,,"Onrust, Gelijkheid, Verzet, Oproer, Eenheid",15,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2123,25-34 jaar oud,Man,2,Culturele verbondenheid
105,26-6-2023 16:28:53,358,26-6-2023 16:28:53,x,,"Emancipatie, Vrijheidsstrijd, Gelijkheid",18,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2126,35-44 jaar oud,Vrouw,2,Geen directe verbondenheid met de gebeurtenis
105,27-6-2023 21:28:55,368,27-6-2023 21:28:55,x,,"Opstand, Onrust, Protest, Rechtvaardigheid, Verzet",28,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2136,45-54 jaar oud,Vrouw,2,Geen directe verbondenheid met de gebeurtenis
105,29-6-2023 12:13:42,374,29-6-2023 12:13:42,x,,"Revolutie, Vrijheidsstrijd, Opstand, Gelijkheid",34,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2142,25-34 jaar oud,Man,2,Culturele verbondenheid
106,20-6-2023 13:11:22,380,20-6-2023 13:11:22,x,,"Revolutie, Vrijheidsstrijd, Opstand, Gelijkheid, Protest, Bevrijding, Vandalisme, Rechtvaardigheid, Opstand, Verwoesting, Verzet, Oproer",5,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2148,25-34 jaar oud,Vrouw,2,Culturele verbondenheid
106,20-6-2023 17:59:46,382,20-6-2023 17:59:46,x,,"Revolutie, Vrijheidsstrijd, Gelijkheid, Verwoesting, Oproer",7,https://www.nationaalarchief.cw/collectie/exposities/30-mei-2150,18-24 jaar oud,Man,2,Geen directe verbondenheid met de gebeurtenis
