judgment,output.Answer,output.Answer.count,output.Answer.unique,unit,worker,started,submitted,duration,job
201,"OrderedCounter({'opstand': 1, 'protest': 1, 'rechtvaardigheid': 1, 'staking': 1})",4,4,101,1,2023-09-06 16:02:20,2023-09-06 16:02:20,0,data/CrowdTruth_Results
202,"OrderedCounter({'opstand': 1, 'gelijkheid': 1, 'protest': 1, 'rechtvaardigheid': 1, 'verzet': 1})",5,5,101,2,2023-10-06 13:04:16,2023-10-06 13:04:16,0,data/CrowdTruth_Results
203,"OrderedCounter({'gelijkheid': 1, 'protest': 1})",2,2,101,3,2023-06-13 10:05:12,2023-06-13 10:05:12,0,data/CrowdTruth_Results
204,"OrderedCounter({'vrijheidsstrijd': 1, 'onrust': 1, 'rechtvaardigheid': 1, 'onafhankelijkheid': 1, 'verzet': 1})",5,5,101,4,2023-06-13 17:04:51,2023-06-13 17:04:51,0,data/CrowdTruth_Results
205,"OrderedCounter({'revolutie': 1, 'vrijheidsstrijd': 1, 'opstand': 1, 'gelijkheid': 1, 'rechtvaardigheid': 1})",5,5,101,5,2023-06-20 13:11:22,2023-06-20 13:11:22,0,data/CrowdTruth_Results
206,"OrderedCounter({'onrust': 1, 'gelijkheid': 1, 'protest': 1, 'rechtvaardigheid': 1, 'staking': 1})",5,5,101,6,2023-06-20 13:50:30,2023-06-20 13:50:30,0,data/CrowdTruth_Results
207,"OrderedCounter({'emancipatie': 1, 'revolutie': 1, 'rechtvaardigheid': 1})",3,3,101,7,2023-06-20 17:59:46,2023-06-20 17:59:46,0,data/CrowdTruth_Results
208,OrderedCounter({'protest': 1}),1,1,101,8,2023-06-20 18:38:16,2023-06-20 18:38:16,0,data/CrowdTruth_Results
209,"OrderedCounter({'emancipatie': 1, 'opstand': 1, 'gelijkheid': 1, 'protest': 1, 'verwoesting': 1})",5,5,101,9,2023-06-21 09:14:03,2023-06-21 09:14:03,0,data/CrowdTruth_Results
210,"OrderedCounter({'emancipatie': 1, 'opstand': 1, 'protest': 1, 'rechtvaardigheid': 1, 'verzet': 1})",5,5,101,10,2023-06-21 12:14:43,2023-06-21 12:14:43,0,data/CrowdTruth_Results
211,"OrderedCounter({'opstand': 1, 'protest': 1, 'rechtvaardigheid': 1, 'verzet': 1, 'staking': 1})",5,5,101,11,2023-06-22 13:23:42,2023-06-22 13:23:42,0,data/CrowdTruth_Results
212,"OrderedCounter({'emancipatie': 1, 'revolutie': 1, 'opstand': 1, 'protest': 1, 'verzet': 1})",5,5,101,12,2023-06-22 16:54:17,2023-06-22 16:54:17,0,data/CrowdTruth_Results
213,"OrderedCounter({'onrust': 1, 'protest': 1, 'rechtvaardigheid': 1, 'oproer': 1, 'staking': 1})",5,5,101,13,2023-06-23 10:43:50,2023-06-23 10:43:50,0,data/CrowdTruth_Results
214,"OrderedCounter({'protest': 1, 'rechtvaardigheid': 1, 'staking': 1})",3,3,101,14,2023-06-23 10:50:44,2023-06-23 10:50:44,0,data/CrowdTruth_Results
215,"OrderedCounter({'protest': 1, 'verzet': 1, 'oproer': 1, 'staking': 1})",4,4,101,15,2023-06-23 21:48:40,2023-06-23 21:48:40,0,data/CrowdTruth_Results
216,"OrderedCounter({'revolutie': 1, 'opstand': 1, 'onrust': 1, 'oproer': 1, 'staking': 1})",5,5,101,16,2023-06-25 19:43:49,2023-06-25 19:43:49,0,data/CrowdTruth_Results
217,"OrderedCounter({'gelijkheid': 1, 'protest': 1, 'rechtvaardigheid': 1})",3,3,101,17,2023-06-26 16:24:30,2023-06-26 16:24:30,0,data/CrowdTruth_Results
218,"OrderedCounter({'vrijheidsstrijd': 1, 'gelijkheid': 1, 'protest': 1, 'bevrijding': 1})",4,4,101,18,2023-06-26 16:28:53,2023-06-26 16:28:53,0,data/CrowdTruth_Results
219,OrderedCounter({'gelijkheid': 1}),1,1,101,19,2023-06-26 16:28:54,2023-06-26 16:28:54,0,data/CrowdTruth_Results
220,"OrderedCounter({'emancipatie': 1, 'gelijkheid': 1, 'rechtvaardigheid': 1, 'onafhankelijkheid': 1, 'verzet': 1})",5,5,101,20,2023-06-26 16:29:13,2023-06-26 16:29:13,0,data/CrowdTruth_Results
221,OrderedCounter({'protest': 1}),1,1,101,21,2023-06-26 16:43:31,2023-06-26 16:43:31,0,data/CrowdTruth_Results
222,"OrderedCounter({'vrijheidsstrijd': 1, 'onrust': 1, 'protest': 1, 'rechtvaardigheid': 1, 'verzet': 1})",5,5,101,22,2023-06-26 17:54:48,2023-06-26 17:54:48,0,data/CrowdTruth_Results
223,OrderedCounter({'protest': 1}),1,1,101,23,2023-06-27 15:38:55,2023-06-27 15:38:55,0,data/CrowdTruth_Results
224,"OrderedCounter({'vrijheidsstrijd': 1, 'opstand': 1, 'onrust': 1, 'protest': 1, 'onafhankelijkheid': 1})",5,5,101,24,2023-06-27 15:57:41,2023-06-27 15:57:41,0,data/CrowdTruth_Results
225,OrderedCounter({'revolutie': 1}),1,1,101,25,2023-06-27 16:32:11,2023-06-27 16:32:11,0,data/CrowdTruth_Results
226,"OrderedCounter({'opstand': 1, 'onrust': 1, 'gelijkheid': 1, 'staking': 1})",4,4,101,26,2023-06-27 19:33:55,2023-06-27 19:33:55,0,data/CrowdTruth_Results
227,OrderedCounter({'protest': 1}),1,1,101,27,2023-06-27 19:36:23,2023-06-27 19:36:23,0,data/CrowdTruth_Results
228,"OrderedCounter({'gelijkheid': 1, 'protest': 1, 'rechtvaardigheid': 1, 'staking': 1})",4,4,101,28,2023-06-27 21:28:55,2023-06-27 21:28:55,0,data/CrowdTruth_Results
229,"OrderedCounter({'opstand': 1, 'onrust': 1, 'gelijkheid': 1, 'protest': 1, 'rechtvaardigheid': 1})",5,5,101,29,2023-06-27 22:37:23,2023-06-27 22:37:23,0,data/CrowdTruth_Results
230,OrderedCounter({'rechtvaardigheid': 1}),1,1,101,30,2023-06-27 23:47:39,2023-06-27 23:47:39,0,data/CrowdTruth_Results
231,"OrderedCounter({'protest': 1, 'rechtvaardigheid': 1, 'staking': 1})",3,3,101,31,2023-06-28 03:20:30,2023-06-28 03:20:30,0,data/CrowdTruth_Results
232,OrderedCounter({'protest': 1}),1,1,101,32,2023-06-28 04:39:00,2023-06-28 04:39:00,0,data/CrowdTruth_Results
