;Cultural;No Connection;Indirect Connection;Personal interest
Unit 1;0.3574388369999374;0.5028251509203711;0.3684571109691825;0.4853339495400715
Unit 2;0.3594288801655574;0.3277094735694716;0.3792405390170119;0.3480515359460084
Unit 3;0.5638960226936245;0.4277136082830524;0.1869665936471002;0.34879108639795126
Unit 4;0.5685285688181019;0.3661303836062038;0.18080484139118433;0.4686373629054469
Unit 5;0.44870882992025396;0.4300436769928306;0.5132958387188462;0.3749543335669356
Unit 6;0.4687331467752666;0.5723598472345487;0.27052541148771087;0.515509896930584
Unit 7;0.3738736667830512;0.3936048888730113;0.3757823467353062;0.4294914724192584
Unit 8;0.6773499190556281;0.492388843963348;0.4609515729351708;0.5381723785796704
Unit 9;0.6696730506271696;0.5778361228189872;0.6550377393641605;0.5763577030800439
Unit 10;0.5126755759704319;0.4229112956287686;0.4517408821799185;0.4614703511172873
