,Unit 101,Unit 102,Unit 103,Unit 104,Unit 105,Unit 106,Unit 107,Unit 108,Unit 109,Unit 110
protest,0.9069436372389235,,,,,,0.4272852349045171,,,
rechtvaardigheid,0.7454640614210982,,,,,,,,,
staking,0.7454640614210982,,,,,,,,,
verwoesting,,0.6007326028388121,,,,0.9069436372389235,,0.7039096493302089,0.9069436372389235,
opstand,,0.5424300735123839,0.8098956714395648,0.6620438265786984,0.5259931395443644,,1.0893290614832156,0.8681982007659929,0.8831746872959211,
onrust,,0.540990161330016,0.6303192228132314,0.7917987986310565,,0.7917987986310565,0.6303192228132314,,0.7917987986310565,0.7917987986310565
oproer,,,0.5424300735123839,,,0.5243332007038757,,0.7174462236777691,,0.7039096493302089
verzet,,,,0.7917987986310565,0.5424300735123839,,,,,
gelijkheid,,,,,0.7233755855743081,,,,,
vandalisme,,,,,,,,,,0.8218634635560348
