,Unit 101,Unit 102,Unit 103,Unit 104,Unit 105,Unit 106,Unit 107,Unit 108,Unit 109,Unit 110
rechtvaardigheid,0.729997239916301,,,,0.729997239916301,,,,,
verzet,0.729997239916301,,,,0.7034092404804507,,0.729997239916301,,,
opstand,0.7034092404804507,0.7034092404804507,1.433406480396752,,,0.7034092404804507,1.1368157208772025,1.0,1.433406480396752,1.433406480396752
gelijkheid,,0.566593519603248,,,0.7034092404804507,,,,,
opstandigheid,,0.4334064803967519,,,,,,,,
onrust,,,0.729997239916301,0.729997239916301,,,,0.729997239916301,0.729997239916301,0.729997239916301
protest,,,0.729997239916301,,,,1.0,,,
revolutie,,,,0.729997239916301,,0.4334064803967519,,,,
vrijheidsstrijd,,,,0.729997239916301,,,,,,
verwoesting,,,,,,1.0,,0.7034092404804507,,
vandalisme,,,,,,,,,0.7034092404804507,0.7034092404804507
