,Unit 101,Unit 102,Unit 103,Unit 104,Unit 105,Unit 106,Unit 107,Unit 108,Unit 109,Unit 110
protest,0.6485599514073718,,,,,,0.5672436046275738,,,
verzet,0.5996680566300006,,,1.0,,,,,,
staking,0.5983240157714765,,,,,,,,,
opstand,,0.616135499404945,,,0.9675755479975733,,,,,0.7517719919626273
onrust,,0.5996680566300006,0.8141275718064221,0.7841964439650542,,0.8141275718064221,,0.5983240157714765,,
verwoesting,,0.5996680566300006,0.8141275718064221,0.6186288235660037,,0.7817031198039955,0.6199728644245277,0.8344323796009495,0.8344323796009495,0.8344323796009495
oproer,,,0.8344323796009495,,,0.6186288235660037,,,0.8344323796009495,
gelijkheid,,,,,0.7841964439650542,,,,,
revolutie,,,,,0.5658995637690498,,,,,
vandalisme,,,,,,,0.7855404848235781,1.0,1.0,0.8344323796009495
