,Unit 101,Unit 102,Unit 103,Unit 104,Unit 105,Unit 106,Unit 107,Unit 108,Unit 109,Unit 110
staking,0.6315236461261033,,,,,,,,,
rechtvaardigheid,0.6161124962775819,,,,,,,,,
protest,0.5602234501935663,,,,,,0.6566718890229113,0.7731334490456533,,
onrust,,0.7172444029616377,0.5003490637451601,0.9142792431644656,,0.7172444029616377,0.7712897591535024,,0.6315236461261033,0.6174921773689952
verwoesting,,0.6315236461261033,0.5691074422952261,0.555075973538118,,0.7276796235002443,,,0.8429790472319286,
oproer,,0.5860698205806946,0.42390139115717473,,,0.7118044648509854,,,,
verzet,,,,0.8688254176190567,,,,,,
opstand,,,,,0.9161229330566166,,,0.7731334490456533,,0.5827660338173971
gelijkheid,,,,,0.7290593045916578,,,,,
vrijheidsstrijd,,,,,0.7276796235002443,,,,,
vandalisme,,,,,,,0.7831046607835224,0.9142792431644656,0.6433385477561234,0.8429790472319286
