unit,unit_annotation_score
101,"Counter({'protest': 0.7998710501313431, 'rechtvaardigheid': 0.6032228768829673, 'gelijkheid': 0.4880001046107695, 'opstand': 0.39667476918606426, 'staking': 0.33605932480424655, 'onrust': 0.2817948969388105, 'vrijheidsstrijd': 0.17223797486183487, 'onafhankelijkheid': 0.13651566222871048, 'verzet': 0.12287086021292011, 'revolutie': 0.06288428799793512, 'emancipatie': 0.04479452918652332, 'bevrijding': 0.03572231263312441, 'verwoesting': 0.018089758811411803, 'vandalisme': 0.0, 'oproer': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
102,"Counter({'onrust': 0.6274284142535707, 'vandalisme': 0.4849263634612581, 'verwoesting': 0.429171531921214, 'opstand': 0.34228959706819595, 'oproer': 0.29786221673541197, 'protest': 0.19933339162649147, 'anarchie': 0.18660523278175134, 'verzet': 0.1610869397841526, 'uitbraak': 0.12756047747641033, 'rechtvaardigheid': 0.12090739959117222, 'vrijheidsstrijd': 0.10298919992096821, 'gelijkheid': 0.08284164847201081, 'omverwerping': 0.08276594828988704, 'onafhankelijkheid': 0.05819467073444489, 'opstandigheid': 0.051502108903416416, 'muiterij': 0.051502108903416416, 'dissidentie': 0.04010491192303309, 'opkomen': 0.04010491192303309, 'emancipatie': 0.018089758811411803, 'revolutie': 0.018089758811411803, 'bevrijding': 0.0, 'staking': 0.0, 'ongeluk/niet met opzet': 0.0, 'ongehoorzaamheid': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
103,"Counter({'onrust': 0.7006294274123075, 'verwoesting': 0.5480807834069152, 'vandalisme': 0.507039863818929, 'oproer': 0.36392462364581, 'opstand': 0.25139819453202106, 'verzet': 0.1610869397841526, 'vrijheidsstrijd': 0.13651566222871048, 'protest': 0.13434375737542725, 'bevrijding': 0.09629663808993974, 'revolutie': 0.08086381827543761, 'rechtvaardigheid': 0.0781706630421945, 'emancipatie': 0.018089758811411803, 'onafhankelijkheid': 0.018089758811411803, 'gelijkheid': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
104,"Counter({'onrust': 0.6730137369510326, 'verwoesting': 0.5218144730151019, 'verzet': 0.46043713561869926, 'protest': 0.2551113328057415, 'vrijheidsstrijd': 0.2538083912602768, 'revolutie': 0.23365152849457083, 'rechtvaardigheid': 0.16361782343017545, 'oproer': 0.16192616796007323, 'bevrijding': 0.15235781600471526, 'opstand': 0.13992195630347068, 'onderdrukken': 0.09455983703204707, 'vandalisme': 0.0781706630421945, 'onafhankelijkheid': 0.051502108903416416, 'emancipatie': 0.018089758811411803, 'gelijkheid': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
105,"Counter({'rechtvaardigheid': 0.6545558612665959, 'protest': 0.6463231258617123, 'gelijkheid': 0.4992988080844659, 'opstand': 0.46312788962851303, 'verzet': 0.3458050430559402, 'vrijheidsstrijd': 0.30063768051416584, 'onrust': 0.29700401705709345, 'revolutie': 0.24905114585643168, 'emancipatie': 0.19373402774800694, 'oproer': 0.16674083889431984, 'bevrijding': 0.13426805719330345, 'staking': 0.11729354499231733, 'onafhankelijkheid': 0.018089758811411803, 'vandalisme': 0.0, 'verwoesting': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
106,"Counter({'onrust': 0.8440093588794215, 'verwoesting': 0.7823508084536489, 'vandalisme': 0.40755633631721633, 'oproer': 0.2548898109359843, 'verzet': 0.21743069724496716, 'protest': 0.19670797236936835, 'opstand': 0.15990046240663983, 'gelijkheid': 0.12804997355713685, 'rechtvaardigheid': 0.11926513159321928, 'emancipatie': 0.10650960621146607, 'heel triest': 0.0781706630421945, 'revolutie': 0.06288428799793512, 'vrijheidsstrijd': 0.06288428799793512, 'onafhankelijkheid': 0.04010491192303309, 'bevrijding': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
107,"Counter({'protest': 0.6785699237558713, 'rechtvaardigheid': 0.53109303884734, 'opstand': 0.5095495000922742, 'onrust': 0.4235905905397476, 'gelijkheid': 0.3093486197268266, 'verwoesting': 0.28290114175421516, 'vandalisme': 0.25700008009749886, 'vrijheidsstrijd': 0.18847682039961638, 'oproer': 0.16758006707024048, 'verzet': 0.11842590341729867, 'emancipatie': 0.053812071444536216, 'bevrijding': 0.051502108903416416, 'revolutie': 0.04866225100079792, 'onafhankelijkheid': 0.04010491192303309, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
108,"Counter({'vandalisme': 0.7994452937708809, 'verwoesting': 0.6432082105238626, 'onrust': 0.5318700220915751, 'protest': 0.3489199583937898, 'opstand': 0.2986707583725837, 'oproer': 0.21272710637540557, 'rechtvaardigheid': 0.1745814133478719, 'verzet': 0.11848826092301144, 'revolutie': 0.10298919992096821, 'vrijheidsstrijd': 0.08489944110955641, 'bevrijding': 0.07832099149426558, 'onafhankelijkheid': 0.04010491192303309, 'emancipatie': 0.018089758811411803, 'gelijkheid': 0.018089758811411803, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
109,"Counter({'verwoesting': 0.7890009664366214, 'onrust': 0.7675218962982214, 'opstand': 0.6036977274759201, 'vandalisme': 0.5545831453229991, 'protest': 0.4955671007256585, 'verzet': 0.196809252417277, 'oproer': 0.1908564751219868, 'revolutie': 0.10298919992096821, 'gelijkheid': 0.08284164847201081, 'rechtvaardigheid': 0.0781706630421945, 'bevrijding': 0.06288428799793512, 'emancipatie': 0.018089758811411803, 'vrijheidsstrijd': 0.0, 'onafhankelijkheid': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
110,"Counter({'vandalisme': 0.6626077694573457, 'onrust': 0.5539833909008225, 'verwoesting': 0.5324038813798161, 'opstand': 0.4367425949746278, 'vrijheidsstrijd': 0.2754733366855041, 'protest': 0.2272816550061903, 'oproer': 0.22571642098107905, 'bevrijding': 0.20119185170718568, 'verzet': 0.16862958618607718, 'revolutie': 0.11438639690135154, 'emancipatie': 0.11232860426380596, 'rechtvaardigheid': 0.051502108903416416, 'gelijkheid': 0.018089758811411803, 'onafhankelijkheid': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
