unit,unit_annotation_score
101,"Counter({'rechtvaardigheid': 0.729997239916301, 'verzet': 0.729997239916301, 'opstand': 0.7034092404804507, 'protest': 0.7034092404804507, 'staking': 0.4334064803967519, 'vrijheidsstrijd': 0.29659075951954916, 'onrust': 0.29659075951954916, 'onafhankelijkheid': 0.29659075951954916, 'emancipatie': 0.27000276008369883, 'gelijkheid': 0.27000276008369883, 'verwoesting': 0.27000276008369883, 'revolutie': 0.0, 'bevrijding': 0.0, 'vandalisme': 0.0, 'oproer': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
102,"Counter({'opstand': 0.7034092404804507, 'gelijkheid': 0.566593519603248, 'opstandigheid': 0.4334064803967519, 'protest': 0.4334064803967519, 'ongehoorzaamheid': 0.4334064803967519, 'verzet': 0.4334064803967519, 'vrijheidsstrijd': 0.29659075951954916, 'dissidentie': 0.29659075951954916, 'opkomen': 0.29659075951954916, 'onafhankelijkheid': 0.29659075951954916, 'emancipatie': 0.27000276008369883, 'omverwerping': 0.27000276008369883, 'verwoesting': 0.27000276008369883, 'revolutie': 0.0, 'onrust': 0.0, 'bevrijding': 0.0, 'vandalisme': 0.0, 'rechtvaardigheid': 0.0, 'oproer': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'ongeluk/niet met opzet': 0.0, 'uitbraak': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
103,"Counter({'opstand': 1.433406480396752, 'onrust': 0.729997239916301, 'protest': 0.729997239916301, 'oproer': 0.729997239916301, 'vrijheidsstrijd': 0.29659075951954916, 'emancipatie': 0.27000276008369883, 'gelijkheid': 0.27000276008369883, 'vandalisme': 0.27000276008369883, 'verwoesting': 0.27000276008369883, 'revolutie': 0.0, 'bevrijding': 0.0, 'rechtvaardigheid': 0.0, 'onafhankelijkheid': 0.0, 'verzet': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
104,"Counter({'revolutie': 0.729997239916301, 'vrijheidsstrijd': 0.729997239916301, 'onrust': 0.729997239916301, 'verzet': 0.729997239916301, 'opstand': 0.7034092404804507, 'verwoesting': 0.29659075951954916, 'emancipatie': 0.27000276008369883, 'gelijkheid': 0.27000276008369883, 'vandalisme': 0.27000276008369883, 'orde herstellen': 0.27000276008369883, 'protest': 0.0, 'bevrijding': 0.0, 'rechtvaardigheid': 0.0, 'onafhankelijkheid': 0.0, 'oproer': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
105,"Counter({'rechtvaardigheid': 0.729997239916301, 'gelijkheid': 0.7034092404804507, 'verzet': 0.7034092404804507, 'vrijheidsstrijd': 0.566593519603248, 'opstand': 0.566593519603248, 'bevrijding': 0.4334064803967519, 'onafhankelijkheid': 0.4334064803967519, 'revolutie': 0.29659075951954916, 'onrust': 0.29659075951954916, 'protest': 0.27000276008369883, 'emancipatie': 0.0, 'vandalisme': 0.0, 'verwoesting': 0.0, 'oproer': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
106,"Counter({'verwoesting': 1.0, 'opstand': 0.7034092404804507, 'revolutie': 0.4334064803967519, 'onrust': 0.4334064803967519, 'vandalisme': 0.4334064803967519, 'rechtvaardigheid': 0.29659075951954916, 'onafhankelijkheid': 0.29659075951954916, 'verzet': 0.29659075951954916, 'oproer': 0.29659075951954916, 'emancipatie': 0.27000276008369883, 'vrijheidsstrijd': 0.27000276008369883, 'gelijkheid': 0.27000276008369883, 'protest': 0.0, 'bevrijding': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
107,"Counter({'opstand': 1.1368157208772025, 'protest': 1.0, 'verzet': 0.729997239916301, 'vrijheidsstrijd': 0.566593519603248, 'onrust': 0.4334064803967519, 'verwoesting': 0.29659075951954916, 'onafhankelijkheid': 0.29659075951954916, 'emancipatie': 0.27000276008369883, 'gelijkheid': 0.27000276008369883, 'revolutie': 0.0, 'bevrijding': 0.0, 'vandalisme': 0.0, 'rechtvaardigheid': 0.0, 'oproer': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
108,"Counter({'opstand': 1.0, 'onrust': 0.729997239916301, 'verwoesting': 0.7034092404804507, 'oproer': 0.4334064803967519, 'revolutie': 0.29659075951954916, 'vrijheidsstrijd': 0.29659075951954916, 'onafhankelijkheid': 0.29659075951954916, 'emancipatie': 0.27000276008369883, 'protest': 0.27000276008369883, 'vandalisme': 0.27000276008369883, 'gelijkheid': 0.0, 'bevrijding': 0.0, 'rechtvaardigheid': 0.0, 'verzet': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
109,"Counter({'opstand': 1.433406480396752, 'onrust': 0.729997239916301, 'vandalisme': 0.7034092404804507, 'verwoesting': 0.7034092404804507, 'protest': 0.566593519603248, 'revolutie': 0.29659075951954916, 'gelijkheid': 0.29659075951954916, 'emancipatie': 0.27000276008369883, 'vrijheidsstrijd': 0.0, 'bevrijding': 0.0, 'rechtvaardigheid': 0.0, 'onafhankelijkheid': 0.0, 'verzet': 0.0, 'oproer': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
110,"Counter({'opstand': 1.433406480396752, 'onrust': 0.729997239916301, 'vandalisme': 0.7034092404804507, 'verwoesting': 0.566593519603248, 'oproer': 0.4334064803967519, 'protest': 0.29659075951954916, 'bevrijding': 0.29659075951954916, 'emancipatie': 0.0, 'revolutie': 0.0, 'vrijheidsstrijd': 0.0, 'gelijkheid': 0.0, 'rechtvaardigheid': 0.0, 'onafhankelijkheid': 0.0, 'verzet': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
