unit,unit_annotation_score
101,"Counter({'protest': 1.0, 'rechtvaardigheid': 1.0, 'onrust': 0.5, 'gelijkheid': 0.5, 'staking': 0.5, 'emancipatie': 0.5, 'opstand': 0.5, 'verzet': 0.5, 'revolutie': 0.0, 'vrijheidsstrijd': 0.0, 'bevrijding': 0.0, 'vandalisme': 0.0, 'verwoesting': 0.0, 'onafhankelijkheid': 0.0, 'oproer': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
102,"Counter({'opstandigheid': 0.5, 'opstand': 0.5, 'anarchie': 0.5, 'onrust': 0.5, 'ongehoorzaamheid': 0.5, 'verzet': 0.5, 'emancipatie': 0.0, 'revolutie': 0.0, 'vrijheidsstrijd': 0.0, 'gelijkheid': 0.0, 'protest': 0.0, 'bevrijding': 0.0, 'vandalisme': 0.0, 'rechtvaardigheid': 0.0, 'verwoesting': 0.0, 'onafhankelijkheid': 0.0, 'oproer': 0.0, 'staking': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
103,"Counter({'onrust': 0.5, 'vandalisme': 0.5, 'verwoesting': 0.5, 'oproer': 0.5, 'bevrijding': 0.5, 'hulp': 0.5, 'emancipatie': 0.0, 'revolutie': 0.0, 'vrijheidsstrijd': 0.0, 'opstand': 0.0, 'gelijkheid': 0.0, 'protest': 0.0, 'rechtvaardigheid': 0.0, 'onafhankelijkheid': 0.0, 'verzet': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
104,"Counter({'onrust': 1.0, 'verzet': 1.0, 'opstand': 0.5, 'vandalisme': 0.5, 'verwoesting': 0.5, 'protest': 0.5, 'oproer': 0.5, 'bemoeienis': 0.5, 'emancipatie': 0.0, 'revolutie': 0.0, 'vrijheidsstrijd': 0.0, 'gelijkheid': 0.0, 'bevrijding': 0.0, 'rechtvaardigheid': 0.0, 'onafhankelijkheid': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
105,"Counter({'revolutie': 1.0, 'opstand': 1.0, 'gelijkheid': 1.0, 'rechtvaardigheid': 0.5, 'staking': 0.5, 'emancipatie': 0.5, 'protest': 0.5, 'saamhorigheid': 0.5, 'vrijheidsstrijd': 0.0, 'onrust': 0.0, 'bevrijding': 0.0, 'vandalisme': 0.0, 'verwoesting': 0.0, 'onafhankelijkheid': 0.0, 'verzet': 0.0, 'oproer': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
106,"Counter({'onrust': 1.0, 'verwoesting': 1.0, 'oproer': 1.0, 'opstand': 0.5, 'vandalisme': 0.5, 'vrijheidsstrijd': 0.5, 'gelijkheid': 0.5, 'emancipatie': 0.0, 'revolutie': 0.0, 'protest': 0.0, 'bevrijding': 0.0, 'rechtvaardigheid': 0.0, 'onafhankelijkheid': 0.0, 'verzet': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
107,"Counter({'revolutie': 1.0, 'gelijkheid': 1.0, 'rechtvaardigheid': 1.0, 'emancipatie': 0.5, 'protest': 0.5, 'verzet': 0.5, 'vrijheidsstrijd': 0.0, 'opstand': 0.0, 'onrust': 0.0, 'bevrijding': 0.0, 'vandalisme': 0.0, 'verwoesting': 0.0, 'onafhankelijkheid': 0.0, 'oproer': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
108,"Counter({'vandalisme': 1.0, 'verwoesting': 1.0, 'onrust': 0.5, 'emancipatie': 0.0, 'revolutie': 0.0, 'vrijheidsstrijd': 0.0, 'opstand': 0.0, 'gelijkheid': 0.0, 'protest': 0.0, 'bevrijding': 0.0, 'rechtvaardigheid': 0.0, 'onafhankelijkheid': 0.0, 'verzet': 0.0, 'oproer': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
109,"Counter({'onrust': 1.0, 'vandalisme': 1.0, 'verwoesting': 1.0, 'oproer': 1.0, 'opstand': 0.5, 'verzet': 0.5, 'emancipatie': 0.0, 'revolutie': 0.0, 'vrijheidsstrijd': 0.0, 'gelijkheid': 0.0, 'protest': 0.0, 'bevrijding': 0.0, 'rechtvaardigheid': 0.0, 'onafhankelijkheid': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
110,"Counter({'vandalisme': 1.0, 'opstand': 0.5, 'protest': 0.5, 'verwoesting': 0.5, 'onrust': 0.5, 'oproer': 0.5, 'emancipatie': 0.0, 'revolutie': 0.0, 'vrijheidsstrijd': 0.0, 'gelijkheid': 0.0, 'bevrijding': 0.0, 'rechtvaardigheid': 0.0, 'onafhankelijkheid': 0.0, 'verzet': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
