unit,unit_annotation_score
101,"Counter({'protest': 0.6485599514073718, 'verzet': 0.5996680566300006, 'staking': 0.5983240157714765, 'revolutie': 0.5672436046275738, 'opstand': 0.40167598422852335, 'gelijkheid': 0.40033194336999933, 'rechtvaardigheid': 0.40033194336999933, 'oproer': 0.38386450059505484, 'emancipatie': 0.21580355603494578, 'onrust': 0.2144595151764217, 'vrijheidsstrijd': 0.1858724281935776, 'bevrijding': 0.0, 'vandalisme': 0.0, 'verwoesting': 0.0, 'onafhankelijkheid': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
102,"Counter({'opstand': 0.616135499404945, 'onrust': 0.5996680566300006, 'verwoesting': 0.5996680566300006, 'vandalisme': 0.4341004362309501, 'verzet': 0.40167598422852335, 'oproer': 0.38386450059505484, 'opstandigheid': 0.2144595151764217, 'anarchie': 0.2144595151764217, 'protest': 0.1858724281935776, 'dissidentie': 0.1858724281935776, 'staking': 0.1858724281935776, 'emancipatie': 0.0, 'revolutie': 0.0, 'vrijheidsstrijd': 0.0, 'gelijkheid': 0.0, 'bevrijding': 0.0, 'rechtvaardigheid': 0.0, 'onafhankelijkheid': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
103,"Counter({'oproer': 0.8344323796009495, 'onrust': 0.8141275718064221, 'verwoesting': 0.8141275718064221, 'vandalisme': 0.432756395372426, 'protest': 0.40167598422852335, 'opstand': 0.3717448563871552, 'revolutie': 0.1858724281935776, 'emancipatie': 0.0, 'vrijheidsstrijd': 0.0, 'gelijkheid': 0.0, 'bevrijding': 0.0, 'rechtvaardigheid': 0.0, 'onafhankelijkheid': 0.0, 'verzet': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
104,"Counter({'verzet': 1.0, 'onrust': 0.7841964439650542, 'verwoesting': 0.6186288235660037, 'oproer': 0.5996680566300006, 'opstand': 0.4302630712113675, 'vandalisme': 0.40033194336999933, 'revolutie': 0.38137117643399626, 'protest': 0.38137117643399626, 'staking': 0.21829688019600435, 'rechtvaardigheid': 0.1858724281935776, 'emancipatie': 0.0, 'vrijheidsstrijd': 0.0, 'gelijkheid': 0.0, 'bevrijding': 0.0, 'onafhankelijkheid': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
105,"Counter({'opstand': 0.9675755479975733, 'gelijkheid': 0.7841964439650542, 'revolutie': 0.5658995637690498, 'verzet': 0.4041693083895819, 'emancipatie': 0.40167598422852335, 'protest': 0.40167598422852335, 'onafhankelijkheid': 0.40167598422852335, 'rechtvaardigheid': 0.40033194336999933, 'staking': 0.40033194336999933, 'vrijheidsstrijd': 0.3514400485926281, 'onrust': 0.21829688019600435, 'oproer': 0.21829688019600435, 'eenheid': 0.21829688019600435, 'bevrijding': 0.21580355603494578, 'vandalisme': 0.0, 'verwoesting': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0})"
106,"Counter({'onrust': 0.8141275718064221, 'verwoesting': 0.7817031198039955, 'oproer': 0.6186288235660037, 'opstand': 0.5862043715635769, 'protest': 0.4041693083895819, 'verzet': 0.4041693083895819, 'revolutie': 0.40167598422852335, 'vandalisme': 0.40033194336999933, 'staking': 0.21829688019600435, 'emancipatie': 0.21580355603494578, 'onafhankelijkheid': 0.21580355603494578, 'vrijheidsstrijd': 0.1858724281935776, 'gelijkheid': 0.1858724281935776, 'bevrijding': 0.1858724281935776, 'rechtvaardigheid': 0.1858724281935776, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
107,"Counter({'vandalisme': 0.7855404848235781, 'verwoesting': 0.6199728644245277, 'protest': 0.5672436046275738, 'verzet': 0.4341004362309501, 'opstand': 0.40167598422852335, 'onrust': 0.38386450059505484, 'revolutie': 0.38002713557547224, 'vrijheidsstrijd': 0.3514400485926281, 'oproer': 0.21829688019600435, 'emancipatie': 0.2144595151764217, 'gelijkheid': 0.2144595151764217, 'rechtvaardigheid': 0.2144595151764217, 'bevrijding': 0.0, 'onafhankelijkheid': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
108,"Counter({'vandalisme': 1.0, 'verwoesting': 0.8344323796009495, 'onrust': 0.5983240157714765, 'protest': 0.5672436046275738, 'opstand': 0.5672436046275738, 'oproer': 0.4041693083895819, 'onafhankelijkheid': 0.21580355603494578, 'revolutie': 0.16556762039905049, 'emancipatie': 0.0, 'vrijheidsstrijd': 0.0, 'gelijkheid': 0.0, 'bevrijding': 0.0, 'rechtvaardigheid': 0.0, 'verzet': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
109,"Counter({'vandalisme': 1.0, 'verwoesting': 0.8344323796009495, 'oproer': 0.8344323796009495, 'onrust': 0.5983240157714765, 'verzet': 0.40167598422852335, 'opstand': 0.40033194336999933, 'protest': 0.38137117643399626, 'revolutie': 0.16556762039905049, 'vrijheidsstrijd': 0.16556762039905049, 'emancipatie': 0.0, 'gelijkheid': 0.0, 'bevrijding': 0.0, 'rechtvaardigheid': 0.0, 'onafhankelijkheid': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
110,"Counter({'vandalisme': 0.8344323796009495, 'verwoesting': 0.8344323796009495, 'opstand': 0.7517719919626273, 'onrust': 0.6199728644245277, 'verzet': 0.4341004362309501, 'oproer': 0.4341004362309501, 'protest': 0.38002713557547224, 'vrijheidsstrijd': 0.16556762039905049, 'gelijkheid': 0.16556762039905049, 'bevrijding': 0.16556762039905049, 'emancipatie': 0.0, 'revolutie': 0.0, 'rechtvaardigheid': 0.0, 'onafhankelijkheid': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
