unit,unit_annotation_score
101,"Counter({'protest': 0.61279103935335, 'opstand': 0.4919961011238602, 'staking': 0.4699141350876525, 'onrust': 0.4471276027372492, 'revolutie': 0.32736004263562296, 'verzet': 0.31272558175103665, 'rechtvaardigheid': 0.290643615714829, 'gelijkheid': 0.23864595807985098, 'emancipatie': 0.17879704006882383, 'vrijheidsstrijd': 0.13392854168221285, 'oproer': 0.11639217435557474, 'bevrijding': 0.0, 'vandalisme': 0.0, 'verwoesting': 0.0, 'onafhankelijkheid': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
102,"Counter({'opstand': 0.7826397168386892, 'verwoesting': 0.7725730659166417, 'onrust': 0.6984183706943388, 'oproer': 0.6038426767698654, 'vandalisme': 0.5708600326404195, 'revolutie': 0.2503207160377876, 'verzet': 0.17879704006882383, 'ongeluk/niet met opzet': 0.15671507403261617, 'gelijkheid': 0.08202281937977601, 'rechtvaardigheid': 0.08202281937977601, 'emancipatie': 0.0, 'vrijheidsstrijd': 0.0, 'protest': 0.0, 'bevrijding': 0.0, 'onafhankelijkheid': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
103,"Counter({'verwoesting': 0.7826397168386892, 'oproer': 0.6662475424831144, 'onrust': 0.5740189205036362, 'protest': 0.43658747251120206, 'vandalisme': 0.2903052791006071, 'opstand': 0.19680688669946161, 'ongeloof bij de mensen': 0.15671507403261617, 'revolutie': 0.13392854168221285, 'vrijheidsstrijd': 0.13392854168221285, 'verzet': 0.11639217435557474, 'emancipatie': 0.0, 'gelijkheid': 0.0, 'bevrijding': 0.0, 'rechtvaardigheid': 0.0, 'onafhankelijkheid': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
104,"Counter({'revolutie': 0.4919961011238602, 'oproer': 0.4919961011238602, 'protest': 0.45762674614806137, 'verzet': 0.31272558175103665, 'rechtvaardigheid': 0.27727892525191, 'opstand': 0.2206361114492132, 'onrust': 0.19680688669946161, 'verwoesting': 0.19680688669946161, '(te late) damage control': 0.15671507403261617, 'gelijkheid': 0.13392854168221285, 'autoriteit': 0.13392854168221285, 'oorlog': 0.13392854168221285, 'emancipatie': 0.03217082821122436, 'vrijheidsstrijd': 0.0, 'bevrijding': 0.0, 'vandalisme': 0.0, 'onafhankelijkheid': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
105,"Counter({'protest': 0.6143418201806775, 'vrijheidsstrijd': 0.6038426767698654, 'opstand': 0.4904453202965326, 'rechtvaardigheid': 0.2788297060792376, 'revolutie': 0.2503207160377876, 'gelijkheid': 0.2079384412738266, 'staking': 0.19680688669946161, 'emancipatie': 0.17879704006882383, 'bevrijding': 0.17879704006882383, 'onafhankelijkheid': 0.17879704006882383, 'verzet': 0.15671507403261617, 'verwoesting': 0.13392854168221285, 'onrust': 0.11639217435557474, 'oproer': 0.11639217435557474, 'vandalisme': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
106,"Counter({'verwoesting': 0.7275751066730356, 'onrust': 0.5740189205036362, 'revolutie': 0.2951892144243986, 'rechtvaardigheid': 0.19680688669946161, 'emancipatie': 0.17879704006882383, 'onafhankelijkheid': 0.17879704006882383, 'vandalisme': 0.1660993698934372, 'oproer': 0.15671507403261617, 'oneerlijkheid': 0.15671507403261617, 'verzet': 0.13392854168221285, 'droevigheid': 0.13392854168221285, 'verlies': 0.13392854168221285, 'staking': 0.11639217435557474, 'gelijkheid': 0.08202281937977601, 'protest': 0.04183907138038937, 'vrijheidsstrijd': 0.0, 'opstand': 0.0, 'bevrijding': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'heel triest': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
107,"Counter({'vandalisme': 0.7482703618628903, 'opstand': 0.47095682748700074, 'verwoesting': 0.45762674614806137, 'onrust': 0.4127582477614505, 'oproer': 0.3131990610550363, 'protest': 0.2951892144243986, 'vrijheidsstrijd': 0.290643615714829, 'revolutie': 0.195256105872134, 'verzet': 0.17879704006882383, 'rechtvaardigheid': 0.08202281937977601, 'bevrijding': 0.03217082821122436, 'emancipatie': 0.0, 'gelijkheid': 0.0, 'onafhankelijkheid': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
108,"Counter({'verwoesting': 0.7826397168386892, 'vandalisme': 0.6756693843705988, 'protest': 0.3772120338041746, 'oproer': 0.2709087216236165, 'staking': 0.2503207160377876, 'opstand': 0.2206361114492132, 'onafhankelijkheid': 0.17879704006882383, 'revolutie': 0.13392854168221285, 'gelijkheid': 0.13392854168221285, 'rechtvaardigheid': 0.13392854168221285, 'verzet': 0.11639217435557474, 'emancipatie': 0.0, 'vrijheidsstrijd': 0.0, 'onrust': 0.0, 'bevrijding': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
109,"Counter({'verwoesting': 0.8646625362184651, 'opstand': 0.5709894934974146, 'vandalisme': 0.530768219973574, 'protest': 0.48979757435928584, 'oproer': 0.4694406557836528, 'onrust': 0.4471276027372492, 'verzet': 0.17879704006882383, 'woede ': 0.11639217435557474, 'gelijkheid': 0.08202281937977601, 'emancipatie': 0.0, 'revolutie': 0.0, 'vrijheidsstrijd': 0.0, 'bevrijding': 0.0, 'rechtvaardigheid': 0.0, 'onafhankelijkheid': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
110,"Counter({'verwoesting': 0.8148105450499137, 'vandalisme': 0.7694141780534248, 'oproer': 0.5339271078367908, 'protest': 0.21595136106198887, 'onrust': 0.17879704006882383, 'verzet': 0.17879704006882383, 'bevrijding': 0.13392854168221285, 'vechtlust ': 0.13392854168221285, 'revolutie': 0.11639217435557474, 'emancipatie': 0.08202281937977601, 'vrijheidsstrijd': 0.0, 'opstand': 0.0, 'gelijkheid': 0.0, 'rechtvaardigheid': 0.0, 'onafhankelijkheid': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
