unit,unit_annotation_score
101,"Counter({'staking': 0.6315236461261033, 'rechtvaardigheid': 0.6161124962775819, 'protest': 0.5602234501935663, 'oproer': 0.5003490637451601, 'revolutie': 0.4397765498064337, 'gelijkheid': 0.3598848232274409, 'verzet': 0.29816674688688377, 'vrijheidsstrijd': 0.2287102408464977, 'onrust': 0.20218231685827628, 'opstand': 0.14298948401096329, 'emancipatie': 0.13976611302739905, 'bevrijding': 0.0857207568355344, 'vandalisme': 0.0, 'verwoesting': 0.0, 'onafhankelijkheid': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
102,"Counter({'onrust': 0.7172444029616377, 'verwoesting': 0.6315236461261033, 'oproer': 0.5860698205806946, 'vandalisme': 0.5602234501935663, 'protest': 0.28275559703836234, 'opstand': 0.2741640663919065, 'dissidentie': 0.14298948401096329, 'verzet': 0.14298948401096329, 'staking': 0.14298948401096329, 'vrijheidsstrijd': 0.13976611302739905, 'anarchie': 0.13976611302739905, 'uitbraak': 0.13976611302739905, 'rechtvaardigheid': 0.1311745823809432, 'emancipatie': 0.0, 'revolutie': 0.0, 'gelijkheid': 0.0, 'bevrijding': 0.0, 'onafhankelijkheid': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
103,"Counter({'verwoesting': 0.5691074422952261, 'onrust': 0.5003490637451601, 'oproer': 0.42390139115717473, 'opstand': 0.371699724857461, 'revolutie': 0.28275559703836234, 'vandalisme': 0.2723203764997556, 'protest': 0.14298948401096329, 'bevrijding': 0.13976611302739905, 'rechtvaardigheid': 0.1311745823809432, 'emancipatie': 0.0, 'vrijheidsstrijd': 0.0, 'gelijkheid': 0.0, 'onafhankelijkheid': 0.0, 'verzet': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
104,"Counter({'onrust': 0.9142792431644656, 'verzet': 0.8688254176190567, 'verwoesting': 0.555075973538118, 'oproer': 0.5003490637451601, 'revolutie': 0.49896938265374674, 'protest': 0.2967870657954705, 'vandalisme': 0.2741640663919065, 'opstand': 0.20218231685827628, 'rechtvaardigheid': 0.14298948401096329, 'staking': 0.1411457941188124, 'emancipatie': 0.0, 'vrijheidsstrijd': 0.0, 'gelijkheid': 0.0, 'bevrijding': 0.0, 'onafhankelijkheid': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
105,"Counter({'opstand': 0.9161229330566166, 'gelijkheid': 0.7290593045916578, 'vrijheidsstrijd': 0.7276796235002443, 'rechtvaardigheid': 0.6161124962775819, 'revolutie': 0.4397765498064337, 'emancipatie': 0.43089255770477397, 'verzet': 0.4153098605107189, 'protest': 0.41393017941930554, 'onrust': 0.2723203764997556, 'onafhankelijkheid': 0.14298948401096329, 'staking': 0.14298948401096329, 'oproer': 0.1411457941188124, 'eenheid': 0.1411457941188124, 'bevrijding': 0.0, 'vandalisme': 0.0, 'verwoesting': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0})"
106,"Counter({'verwoesting': 0.7276796235002443, 'onrust': 0.7172444029616377, 'oproer': 0.7118044648509854, 'revolutie': 0.4849379138966386, 'vrijheidsstrijd': 0.4849379138966386, 'opstand': 0.28597896802192657, 'protest': 0.2841352781297757, 'verzet': 0.2841352781297757, 'gelijkheid': 0.28275559703836234, 'bevrijding': 0.14298948401096329, 'vandalisme': 0.14298948401096329, 'rechtvaardigheid': 0.14298948401096329, 'staking': 0.1411457941188124, 'heel triest': 0.1311745823809432, 'emancipatie': 0.0, 'onafhankelijkheid': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
107,"Counter({'vandalisme': 0.7831046607835224, 'onrust': 0.7712897591535024, 'protest': 0.6566718890229113, 'opstand': 0.6161124962775819, 'vrijheidsstrijd': 0.3857311936145691, 'revolutie': 0.3592032696263477, 'oproer': 0.3433281109770887, 'verwoesting': 0.2841352781297757, 'verzet': 0.1411457941188124, 'rechtvaardigheid': 0.1311745823809432, 'emancipatie': 0.0857207568355344, 'gelijkheid': 0.0857207568355344, 'bevrijding': 0.0, 'onafhankelijkheid': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
108,"Counter({'vandalisme': 0.9142792431644656, 'protest': 0.7731334490456533, 'opstand': 0.7731334490456533, 'oproer': 0.5720383518235864, 'verwoesting': 0.4153098605107189, 'onrust': 0.29816674688688377, 'revolutie': 0.2967870657954705, 'vrijheidsstrijd': 0.13976611302739905, 'rechtvaardigheid': 0.1311745823809432, 'verzet': 0.0857207568355344, 'emancipatie': 0.0, 'gelijkheid': 0.0, 'bevrijding': 0.0, 'onafhankelijkheid': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
109,"Counter({'verwoesting': 0.8429790472319286, 'vandalisme': 0.6433385477561234, 'onrust': 0.6315236461261033, 'protest': 0.49037785200729095, 'opstand': 0.4849379138966386, 'oproer': 0.42390139115717473, 'revolutie': 0.2967870657954705, 'verzet': 0.2287102408464977, 'vrijheidsstrijd': 0.1570209527680714, 'bevrijding': 0.13976611302739905, 'rechtvaardigheid': 0.1311745823809432, 'emancipatie': 0.0, 'gelijkheid': 0.0, 'onafhankelijkheid': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
110,"Counter({'vandalisme': 0.8429790472319286, 'onrust': 0.6174921773689952, 'opstand': 0.5827660338173971, 'verwoesting': 0.555075973538118, 'vrijheidsstrijd': 0.49896938265374674, 'protest': 0.3592032696263477, 'gelijkheid': 0.1570209527680714, 'bevrijding': 0.1570209527680714, 'verzet': 0.1411457941188124, 'oproer': 0.1411457941188124, 'revolutie': 0.13976611302739905, 'emancipatie': 0.0, 'rechtvaardigheid': 0.0, 'onafhankelijkheid': 0.0, 'staking': 0.0, 'anarchie': 0.0, 'opkomen': 0.0, 'ongeluk/niet met opzet': 0.0, 'opstandigheid': 0.0, 'omverwerping': 0.0, 'uitbraak': 0.0, 'dissidentie': 0.0, 'ongehoorzaamheid': 0.0, 'muiterij': 0.0, 'hulp': 0.0, 'ongeloof bij de mensen': 0.0, 'orde herstellen': 0.0, 'bemoeienis': 0.0, 'onderdrukken': 0.0, 'autoriteit': 0.0, 'oorlog': 0.0, '(te late) damage control': 0.0, 'saamhorigheid': 0.0, 'droevigheid': 0.0, 'verlies': 0.0, 'heel triest': 0.0, 'oneerlijkheid': 0.0, 'destructie': 0.0, 'woede ': 0.0, 'boosheid': 0.0, 'vechtlust ': 0.0, 'wanhoop': 0.0, 'eenheid': 0.0})"
