Unit;uqs;Connection_type
101;0.35386572688948703;Cultural
102;0.29998293692277683;Cultural
103;0.5592936732764721;Cultural
104;0.5176034707867037;Cultural
105;0.3621943208878905;Cultural
106;0.3933673717138039;Cultural
107;0.33038976959209126;Cultural
108;0.601128158379519;Cultural
109;0.6096809544404583;Cultural
110;0.46635441317545245;Cultural
101;0.4564958578561086;No Connection
102;0.27417692534602817;No Connection
103;0.3837407526837042;No Connection
104;0.3108298759756768;No Connection
105;0.37909070625662955;No Connection
106;0.4736664298143016;No Connection
107;0.34745470003793205;No Connection
108;0.4465437489153062;No Connection
109;0.5196923646575303;No Connection
110;0.3829480519317066;No Connection
101;0.3682597887308596;Indirect Connection
102;0.2815040509901263;Indirect Connection
103;0.13829249831893964;Indirect Connection
104;0.17809216527044408;Indirect Connection
105;0.40567083115954133;Indirect Connection
106;0.21684882465688526;Indirect Connection
107;0.3021004986255134;Indirect Connection
108;0.3988812496649893;Indirect Connection
109;0.5463427936352588;Indirect Connection
110;0.34058274368184527;Indirect Connection
101;0.5062788606755295;Personal Interest
102;0.30460365722904326;Personal Interest
103;0.3259612019680333;Personal Interest
104;0.42203311735613314;Personal Interest
105;0.3135458604829362;Personal Interest
106;0.4079210177785186;Personal Interest
107;0.3628244509663809;Personal Interest
108;0.4816149801643967;Personal Interest
109;0.5265179631338452;Personal Interest
110;0.4198095189597036;Personal Interest
