judgment,output.Answer,output.Answer.count,output.Answer.unique,unit,worker,started,submitted,duration,job
100,"OrderedCounter({'4': 1, '1': 0, '2': 0, '3': 0, '5': 0})",1,5,100,1,2023-03-31 13:00:32,2023-03-31 13:00:32,0,data/Answers
101,"OrderedCounter({'4': 1, '1': 0, '2': 0, '3': 0, '5': 0})",1,5,100,2,2023-03-31 13:27:12,2023-03-31 13:27:12,0,data/Answers
102,"OrderedCounter({'4': 1, '1': 0, '2': 0, '3': 0, '5': 0})",1,5,100,3,2023-03-31 13:30:01,2023-03-31 13:30:01,0,data/Answers
103,"OrderedCounter({'4': 1, '1': 0, '2': 0, '3': 0, '5': 0})",1,5,100,4,2023-03-31 13:38:18,2023-03-31 13:38:18,0,data/Answers
104,"OrderedCounter({'4': 1, '1': 0, '2': 0, '3': 0, '5': 0})",1,5,100,5,2023-03-31 13:42:55,2023-03-31 13:42:55,0,data/Answers
105,"OrderedCounter({'3': 1, '1': 0, '2': 0, '4': 0, '5': 0})",1,5,100,6,2023-03-31 14:02:58,2023-03-31 14:02:58,0,data/Answers
106,"OrderedCounter({'3': 1, '1': 0, '2': 0, '4': 0, '5': 0})",1,5,100,7,2023-03-31 16:42:35,2023-03-31 16:42:35,0,data/Answers
107,"OrderedCounter({'4': 1, '1': 0, '2': 0, '3': 0, '5': 0})",1,5,100,8,2023-03-31 16:54:36,2023-03-31 16:54:36,0,data/Answers
108,"OrderedCounter({'4': 1, '1': 0, '2': 0, '3': 0, '5': 0})",1,5,100,9,2023-03-31 18:15:08,2023-03-31 18:15:08,0,data/Answers
109,"OrderedCounter({'4': 1, '1': 0, '2': 0, '3': 0, '5': 0})",1,5,100,10,2023-03-31 18:33:44,2023-03-31 18:33:44,0,data/Answers
110,"OrderedCounter({'5': 1, '1': 0, '2': 0, '3': 0, '4': 0})",1,5,100,11,2023-03-31 18:46:47,2023-03-31 18:46:47,0,data/Answers
111,"OrderedCounter({'2': 1, '1': 0, '3': 0, '4': 0, '5': 0})",1,5,100,12,2023-03-31 19:47:57,2023-03-31 19:47:57,0,data/Answers
