worker,unit,judgment,job,duration,wqs,wwa,wsa,wqs_initial,wwa_initial,wsa_initial
1,1,1,1,0.0,0.9999999999999991,0.9999999999999991,1.0,0.6006507865581612,0.6363636363636364,0.9438798074485389
2,1,1,1,0.0,0.9999999999999991,0.9999999999999991,1.0,0.6006507865581612,0.6363636363636364,0.9438798074485389
3,1,1,1,0.0,0.9999999999999991,0.9999999999999991,1.0,0.6006507865581612,0.6363636363636364,0.9438798074485389
4,1,1,1,0.0,0.9999999999999991,0.9999999999999991,1.0,0.6006507865581612,0.6363636363636364,0.9438798074485389
5,1,1,1,0.0,0.9999999999999991,0.9999999999999991,1.0,0.6006507865581612,0.6363636363636364,0.9438798074485389
6,1,1,1,0.0,3.856632389994519e-24,3.856632389994519e-16,1e-08,0.011106313123300475,0.09090909090909091,0.12216944435630522
7,1,1,1,0.0,3.856632389994519e-24,3.856632389994519e-16,1e-08,0.011106313123300475,0.09090909090909091,0.12216944435630522
8,1,1,1,0.0,0.9999999999999992,0.9999999999999992,1.0,0.6006507865581612,0.6363636363636364,0.9438798074485389
9,1,1,1,0.0,0.9999999999999992,0.9999999999999992,1.0,0.6006507865581612,0.6363636363636364,0.9438798074485389
10,1,1,1,0.0,0.9999999999999992,0.9999999999999992,1.0,0.6006507865581612,0.6363636363636364,0.9438798074485389
11,1,1,1,0.0,0.0,0.0,1e-08,0.0,0.0,0.0
12,1,1,1,0.0,0.0,0.0,1e-08,0.0,0.0,0.0
