judgment,output.Answer,output.Answer.count,output.Answer.unique,unit,worker,started,submitted,duration,job
100,OrderedCounter({'4': 1}),1,1,100,1,2023-03-31 13:00:32,2023-03-31 13:00:32,0,data/Answers_general
101,OrderedCounter({'4': 1}),1,1,100,2,2023-03-31 13:27:12,2023-03-31 13:27:12,0,data/Answers_general
102,OrderedCounter({'4': 1}),1,1,100,3,2023-03-31 13:30:01,2023-03-31 13:30:01,0,data/Answers_general
103,OrderedCounter({'4': 1}),1,1,100,4,2023-03-31 13:38:18,2023-03-31 13:38:18,0,data/Answers_general
104,OrderedCounter({'4': 1}),1,1,100,5,2023-03-31 13:42:55,2023-03-31 13:42:55,0,data/Answers_general
105,OrderedCounter({'3': 1}),1,1,100,6,2023-03-31 14:02:58,2023-03-31 14:02:58,0,data/Answers_general
106,OrderedCounter({'3': 1}),1,1,100,7,2023-03-31 16:42:35,2023-03-31 16:42:35,0,data/Answers_general
107,OrderedCounter({'4': 1}),1,1,100,8,2023-03-31 16:54:36,2023-03-31 16:54:36,0,data/Answers_general
108,OrderedCounter({'4': 1}),1,1,100,9,2023-03-31 18:15:08,2023-03-31 18:15:08,0,data/Answers_general
109,OrderedCounter({'4': 1}),1,1,100,10,2023-03-31 18:33:44,2023-03-31 18:33:44,0,data/Answers_general
110,OrderedCounter({'5': 1}),1,1,100,11,2023-03-31 18:46:47,2023-03-31 18:46:47,0,data/Answers_general
111,OrderedCounter({'2': 1}),1,1,100,12,2023-03-31 19:47:57,2023-03-31 19:47:57,0,data/Answers_general
112,"OrderedCounter({'revolt': 1, 'strike': 1})",2,2,200,1,2023-03-31 13:00:32,2023-03-31 13:00:32,0,data/Answers_general
113,"OrderedCounter({'protest': 1, 'revolt': 1, 'strike': 1})",3,3,200,2,2023-03-31 13:27:12,2023-03-31 13:27:12,0,data/Answers_general
114,OrderedCounter({'protest': 1}),1,1,200,3,2023-03-31 13:30:01,2023-03-31 13:30:01,0,data/Answers_general
115,OrderedCounter({'protest': 1}),1,1,200,4,2023-03-31 13:38:18,2023-03-31 13:38:18,0,data/Answers_general
116,OrderedCounter({'strike': 1}),1,1,200,5,2023-03-31 13:42:55,2023-03-31 13:42:55,0,data/Answers_general
117,"OrderedCounter({'protest': 1, 'strike': 1})",2,2,200,6,2023-03-31 14:02:58,2023-03-31 14:02:58,0,data/Answers_general
118,"OrderedCounter({'revolt': 1, 'insurrection': 1, 'strike': 1})",3,3,200,7,2023-03-31 16:42:35,2023-03-31 16:42:35,0,data/Answers_general
119,OrderedCounter({'protest': 1}),1,1,200,8,2023-03-31 16:54:36,2023-03-31 16:54:36,0,data/Answers_general
120,"OrderedCounter({'protest': 1, 'strike': 1})",2,2,200,9,2023-03-31 18:15:08,2023-03-31 18:15:08,0,data/Answers_general
121,"OrderedCounter({'protest': 1, 'strike': 1})",2,2,200,10,2023-03-31 18:33:44,2023-03-31 18:33:44,0,data/Answers_general
122,OrderedCounter({'protest': 1}),1,1,200,11,2023-03-31 18:46:47,2023-03-31 18:46:47,0,data/Answers_general
123,"OrderedCounter({'protest': 1, 'revolt': 1})",2,2,200,12,2023-03-31 19:47:57,2023-03-31 19:47:57,0,data/Answers_general
124,OrderedCounter({'justice': 1}),1,1,300,1,2023-03-31 13:00:32,2023-03-31 13:00:32,0,data/Answers_general
125,"OrderedCounter({'justice': 1, 'desperation': 1, 'anger': 1})",3,3,300,2,2023-03-31 13:27:12,2023-03-31 13:27:12,0,data/Answers_general
126,"OrderedCounter({'violence': 1, 'justice': 1, 'desperation': 1, 'anger': 1})",4,4,300,3,2023-03-31 13:30:01,2023-03-31 13:30:01,0,data/Answers_general
127,OrderedCounter({'anger': 1}),1,1,300,4,2023-03-31 13:38:18,2023-03-31 13:38:18,0,data/Answers_general
128,"OrderedCounter({'violence': 1, 'desperation': 1, 'anger': 1})",3,3,300,5,2023-03-31 13:42:55,2023-03-31 13:42:55,0,data/Answers_general
129,"OrderedCounter({'justice': 1, 'anger': 1})",2,2,300,6,2023-03-31 14:02:58,2023-03-31 14:02:58,0,data/Answers_general
130,"OrderedCounter({'violence': 1, 'anger': 1})",2,2,300,7,2023-03-31 16:42:35,2023-03-31 16:42:35,0,data/Answers_general
131,"OrderedCounter({'desperation': 1, 'anger': 1})",2,2,300,8,2023-03-31 16:54:36,2023-03-31 16:54:36,0,data/Answers_general
132,"OrderedCounter({'desperation': 1, 'anger': 1})",2,2,300,9,2023-03-31 18:15:08,2023-03-31 18:15:08,0,data/Answers_general
133,OrderedCounter({'anger': 1}),1,1,300,10,2023-03-31 18:33:44,2023-03-31 18:33:44,0,data/Answers_general
134,"OrderedCounter({'violence': 1, 'justice': 1, 'desperation': 1, 'anger': 1})",4,4,300,11,2023-03-31 18:46:47,2023-03-31 18:46:47,0,data/Answers_general
135,OrderedCounter({'desperation': 1}),1,1,300,12,2023-03-31 19:47:57,2023-03-31 19:47:57,0,data/Answers_general
