worker,unit,judgment,job,duration,wqs,wwa,wsa,wqs_initial,wwa_initial,wsa_initial
1,3,3,1,0.0,0.30028429922266514,0.49373191931048893,0.608193004094248,0.2485322450004745,0.4128653634369144,0.6019692301905827
2,3,3,1,0.0,0.6942151007850446,0.7557093818592172,0.9186270773522981,0.6230773370845669,0.6727805303483188,0.9261227235009031
3,3,3,1,0.0,0.6452227627636494,0.7355980856651255,0.8771403506036057,0.543984470915419,0.6353410704924509,0.8562085723401736
4,3,3,1,0.0,0.5922420911719556,0.7145727337966722,0.8288058907947009,0.45706375103471314,0.5875425774867048,0.7779244748352826
5,3,3,1,0.0,0.5071141641286886,0.6437181280529313,0.787789161169918,0.4189595667798186,0.5445949690356638,0.769304879040082
6,3,3,1,0.0,0.24379926708545363,0.44883692525731883,0.5431800579813775,0.2669714902789975,0.455168410746929,0.5865334324077954
7,3,3,1,0.0,0.10968279671006995,0.2957121717639611,0.3709106596992541,0.12913595713363982,0.3105054143871895,0.41588955023055335
8,3,3,1,0.0,0.6560675410983937,0.7449001248599665,0.8807456452255631,0.517338214893593,0.6234637715673941,0.8297807161962268
9,3,3,1,0.0,0.7317434119533767,0.7772958369936578,0.9413962832781095,0.598701666781945,0.6645092680337126,0.9009681212626385
10,3,3,1,0.0,0.6627546856150139,0.7463350735200391,0.8880122469511932,0.5337416011580368,0.6285880739530232,0.8491118799016943
11,3,3,1,0.0,0.2333674528771542,0.4387464265355085,0.5318959625948484,0.22920824457943464,0.423219858371239,0.5415819698573272
12,3,3,1,0.0,0.11790071875175814,0.30583510806998726,0.38550420027244797,0.11199738895567317,0.2915783665724281,0.38410733372378986
